"","focal","year","complexity.animal","complexity.plant","abund.sp.mean","abund.sp.median","abund.sp.max","abund.sp.min","parameter"
"118","CHFU","2019","species","code.plant",0.000333333333333334,0,0.1,0,"Intraspecific"
"119","CHFU","2019","species","code.plant",0.0666666666666667,0,5,0,"Plant - herbivore"
"120","CHFU","2019","species","code.plant",0.635714285714285,0,5,0,"Plant - floral visitor"
"121","CHFU","2020","group","class",0.741965973534972,0.652173913043478,5,0,"Plant - plant"
"122","CHFU","2020","group","class",0.566432622198218,0.434782608695652,5,0,"Intraspecific"
"123","CHFU","2020","group","class",0.224558050645007,0,5,0,"Plant - herbivore"
"124","CHFU","2020","group","class",0.56832298136646,0.5,5,0,"Plant - floral visitor"
"125","CHFU","2020","family","family",1.15862398471094,0.961538461538462,5,0,"Plant - plant"
"126","CHFU","2020","family","family",0.134973721930244,0,5,0,"Intraspecific"
"127","CHFU","2020","family","family",0.067287784679089,0,5,0,"Plant - herbivore"
"128","CHFU","2020","family","family",0.484472049689441,0,5,0,"Plant - floral visitor"
"129","CHFU","2020","species","code.plant",1.14787386526517,0.961538461538462,5,0,"Plant - plant"
"130","CHFU","2020","species","code.plant",0.00238891543239369,0,0.192307692307692,0,"Intraspecific"
"131","CHFU","2020","species","code.plant",0.11128364389234,0,5,0,"Plant - herbivore"
"132","CHFU","2020","species","code.plant",0.785714285714286,0.5,5,0,"Plant - floral visitor"
"133","CHFU","2021","group","class",1.3351724137931,1.20689655172414,5,0,"Plant - plant"
"134","CHFU","2021","group","class",1.00137931034483,0.862068965517241,5,0,"Intraspecific"
"135","CHFU","2021","group","class",0.16,0,5,0,"Plant - herbivore"
"136","CHFU","2021","group","class",1.23666666666667,0.833333333333333,5,0,"Plant - floral visitor"
"137","CHFU","2021","family","family",2.22933333333333,2,5,0,"Plant - plant"
"138","CHFU","2021","family","family",0.0853333333333333,0,4.33333333333333,0,"Intraspecific"
"139","CHFU","2021","family","family",0.113333333333333,0,5,0,"Plant - herbivore"
"140","CHFU","2021","family","family",0.776,0,5,0,"Plant - floral visitor"
"141","CHFU","2021","species","code.plant",2.22933333333333,2,5,0,"Plant - plant"
"142","CHFU","2021","species","code.plant",0.016,0,1,0,"Intraspecific"
"143","CHFU","2021","species","code.plant",0.233333333333333,0,5,0,"Plant - herbivore"
"144","CHFU","2021","species","code.plant",1.855,1.25,5,0,"Plant - floral visitor"
