family,genus,species,name,code,synonym
Aizoaceae,Mesembryanthemum,crystallinum,Mesembryanthemum crystallinum,MECY,
Aizoaceae,Mesembryanthemum,nodiflorum,Mesembryanthemum nodiflorum,MENO,
Asteraceae,Millotia,myosotidifolia,Millotia myosotidifolia,MIMY,
Asteraceae,Millotia,tenuifolia,Millotia tenuifolia,MITE,
Poaceae,Monachather,paradoxus,Monachather paradoxus,MOPA,
Asteraceae,Monoculus,monstrosus,Monoculus monstrosus,MOMO,
Iridaceae,Moraea,flaccida,Moraea flaccida,MOFL,
Iridaceae,Moraea,setifolia,Moraea setifolia,MOSE,
Asteraceae,Myriocephalus,guerinae,Myriocephalus guerinae,MYGU,
Asteraceae,Myriocephalus,rhizocephalus,Myriocephalus rhizocephalus,MYRH,
Poaceae,Neurachne,alopercuroidea,Neurachne alopercuroidea,NEAL,
Solanaceae,Nicotiana,rotundifolia,Nicotiana rotundifolia,NIRO,
Boraginaceae,Omphalolappula,concava,Omphalolappula concava,OMCO,
Rubiaceae,Opercularia,spermacocea,Opercularia spermacocea,OPSP,
Ophioglossaceae,Ophioglossum,lusitanicum,Ophioglossum lusitanicum,OPLU,
Oxalidaceae,Oxalis,perennans,Oxalis perennans,OXPE,
Orobanchaceae,Parentucellia,latifolia,Parentucellia latifolia,PALA,
Urticaceae,Parietaria,cardiostegia,Parietaria cardiostegia,PACA,
Poaceae,Pentameris,airoides,Pentameris airoides,PEAI,
Caryophyllaceae,Petrorhagia,dubia,Petrorhagia dubia,PEDU,
Orchidaceae,Pheladenia,deformis.,Pheladenia deformis.,,
Loganiaceae,Phyllangium,sulcatum,Phyllangium sulcatum,PHSU,
Thymelaeaceae,Pimelea,imbricata,Pimelea imbricata,PIIM,
Plantaginaceae,Plantago,coronopus,Plantago coronopus,PLCO,
Plantaginaceae,Plantago,debilis,Plantago debilis,PLDE,
Asteraceae,Podolepis,canescens,Podolepis aristata,POAR,Podolepis canescens
Asteraceae,Podolepis,capillaris,Podolepis capillaris,POCAP,
Asteraceae,Podolepis,lessonii,Podolepis lessonii,POLE,Panaetia lessonii
Asteraceae,Podotheca,gnaphalioides,Podotheca gnaphalioides,POGN,
Asteraceae,Podotheca,angustifolia,Podotheca angustifolia,POAN,
Asteraceae,Pogonolepis,muelleriana,Pogonolepis muelleriana,POMU,
Caryophyllaceae,Polycarpon,tetraphyllum,Polycarpon tetraphyllum,POTE,
Phyllanthaceae,Poranthera,microphylla,Poranthera microphylla,POMI,
Orchidaceae,Prasophyllum,gracile,Prasophyllum gracile,PRGR,
Orchidaceae,Pterostylis,brunneola,Pterostylis brunneola,PTBR,
Amaranthaceae,Ptilotus,eremita,Ptilotus eremita,PTER,
Amaranthaceae,Ptilotus,declinatus,Ptilotus declinatus,PTDE,
Amaranthaceae,Ptilotus,drummondii,Ptilotus drummondii,PTDR,
Amaranthaceae,Ptilotus,exaltatus,Ptilotus exaltatus,PTEX,
Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,PTGA,
Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,PTHO,
Amaranthaceae,Ptilotus,polystachyus,Ptilotus polystachyus,PTPO,
Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,PTSP,
Asteraceae,Quinetia,urvillei,Quinetia urvillei,QUUR,
Brassicaceae,Rapistrum,rugosum,Rapistrum rugosum,RARU,
Asteraceae,Rhodanthe,chlorocephala,Rhodanthe chlorocephala,RHCH,
Asteraceae,Rhodanthe,citrina,Rhodanthe citrina,RHCI,
Asteraceae,Rhodanthe,humboldtiana,Rhodanthe humboldtiana,RHHU,
Asteraceae,Rhodanthe,laevis,Rhodanthe laevis,RHLA,
Asteraceae,Rhodanthe,manglesii,Rhodanthe manglesii,RHMA,
Asteraceae,Rhodanthe,maryonii,Rhodanthe maryonii,RHMAR,
Asteraceae,Rhodanthe,polycephala,Rhodanthe polycephala,RHPO,
Asteraceae,Rhodanthe,pygmaea,Rhodanthe pygmaea,RHPY,
Asteraceae,Rhodanthe,spicata,Rhodanthe spicata,RHSP,
Zygophyllaceae,Roepera,iodocarpa,Roepera iodocarpa,ROIO,
Iridaceae,Romulea,rosea,Romulea rosea,RORO,
Poaceae,Rostraria,pumila,Rostraria pumila,ROPU,
Polygonaceae,Rumex,hypogaeus,Rumex hyopgaeus,RUHY,Emex australis
Poaceae,Rytidosperma,caespitosum,Rytidosperma caespitosum,RYCA,
Santalaceae,Santalum,acuminatum,Santalum acuminatum,SAAC,
Santalaceae,Santalum,spicatum,Santalum spicatum,SASP,
Goodeniaceae,Scaevola,canescens,Scaevola canescens,SCECA,
Asteraceae,Schoenia,cassiniana,Schoenia cassiniana,SCCA,
Cyperaceae,Schoenus,nanus,Schoenus nanus,SCNA,
Chenopodiaceae,Sclerolaena,eriacantha,Sclerolaena eriacantha,SCER,
Asteraceae,Senecio,glossanthus,Senecio glossanthus,SEGL,
Malvaceae,Sida,sp.,Sida sp.,,
Caryophyllaceae,Silene,gallica,Silene gallica,SIGA,
Caryophyllaceae,Silene,nocturna,Silene nocturna,SINO,
Asteraceae,Sonchus,oleraceus,Sonchus oleraceus,SOOL,
Caryophyllaceae,Spergula,arvensis,Spergula arvensis,SPAR,
Celastraceae,Stackhousia,monogyna,Stackhousia monogyna,STMO,
Brassicaceae,Stenopetalum,lineare,Stenopetalum lineare,STLI,
Stylidiaceae,Stylidium,sp.,Stylidium sp.,,
Orchidaceae,Thelymitra,antennifera,Thelymitra antennifera,THAN,
Asparagaceae,Thysanotus,manglesianus,Thysanotus manglesianus,THMA,
Asparagaceae,Thysanotus,rectantherus,Thysanotus rectantherus,THRE,
Araliaceae,Trachymene,cyanopetala,Trachymene cyanopetala,TRCY,
Araliaceae,Trachymene,ornata,Trachymene ornata,TROR,
Araliaceae,Trachymene,pilosa,Trachymene pilosa,TRPI,
Fabaceae,Trifolium,glomeratum,Trifolium glomeratum,TRGL,
Fabaceae,Trifolium,hirtum,Trifolium hirtum,TRHI,
Fabaceae,Trifolium,subterraneum,Trifolium subterraneum,TRSU,
Juncaginaceae,Triglochin,isingiana,Triglochin isingiana,TRIS,
Asteraceae,Urospermum,picroides,Urospermum picroides,URPI,
Asteraceae,Ursinia,anthemoides,Ursinia anthemoides,URAN,
Goodeniaceae,Velleia,cycnopotamica,Velleia cycnopotamica,VECY,
Goodeniaceae,Goodenia,rosea,Goodenia rosea,GORO,Velleia rosea
Apocynaceae,Vincetoxicum,lineare,Vincetoxicum lineare,VILI,
Poaceae,Vulpia,bromoides,Vulpia bromoides,VUBR,
Poaceae,Vulpia,myuros,Vulpia myuros,VUMY,
Campanulaceae,Wahlenbergia,capensis,Wahlenbergia capensis,WACA,
Campanulaceae,Wahlenbergia,gracilenta,Wahlenbergia gracilenta,WAGR,
Asteraceae,Waitzia,acuminata,Waitzia acuminata,WAAC,
Asteraceae,Waitzia,nitida,Waitzia nitida,WANI,
Colchicaceae,Wurmbea,densiflora,Wurmbea densiflora,WUDE,
Colchicaceae,Wurmbea,drummondii,Wurmbea drummondii,WUDU,
Colchicaceae,Wurmbea,tenella,Wurmbea tenella,WUTE,
Colchicaceae,Wurmbea,sp.,Wumrbea sp.,,
Scrophulariaceae,Zaluzianskya,divaricata,Zaluzianskya divaricata,ZADI,
Brassicaceae,Stenopetalum,filifolium,Stenopetalum filifolium,STFI,
,,,Austrostipa sp.,AUSTRO,
,,,Maireana sp,MAIREA,
,,,Rytidosperma sp.,RYTIDO,
,,,Arthripodium sp.,ARTHRI,
,,,Rosette,ROSSET,
,,,Perennial chenopod,CHENO,
,,,Fimbristylus sp,FIMBRI,
