day,month,year,plot,subplot,species,individuals,obs
1,6,2022,2,A1,LEMA,4,CHNO no medido focal ni abundancia
1,6,2022,2,A1,BEMA,25,CHNO no medido focal ni abundancia
1,6,2022,2,A1,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,2,A1,PLCO,3,CHNO no medido focal ni abundancia
1,6,2022,2,A1,HOMA,3,CHNO no medido focal ni abundancia
1,6,2022,2,A1,PAIN,12,CHNO no medido focal ni abundancia
1,6,2022,2,A2,PLCO,3,CHNO no medido focal ni abundancia
1,6,2022,2,A2,CHFU,7,CHNO no medido focal ni abundancia
1,6,2022,2,A2,PAIN,6,CHNO no medido focal ni abundancia
1,6,2022,2,A2,BEMA,16,CHNO no medido focal ni abundancia
1,6,2022,2,A2,SOAS,2,CHNO no medido focal ni abundancia
1,6,2022,2,A2,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,2,A3,LEMA,13,CHNO no medido focal ni abundancia
1,6,2022,2,A3,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,2,A3,CHFU,2,CHNO no medido focal ni abundancia
1,6,2022,2,A3,BEMA,10,CHNO no medido focal ni abundancia
1,6,2022,2,A3,HOMA,15,CHNO no medido focal ni abundancia
1,6,2022,2,A4,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,2,A4,PLCO,3,CHNO no medido focal ni abundancia
1,6,2022,2,A4,SOAS,4,CHNO no medido focal ni abundancia
1,6,2022,2,A4,LEMA,4,CHNO no medido focal ni abundancia
1,6,2022,2,A4,HOMA,3,CHNO no medido focal ni abundancia
1,6,2022,2,A4,BEMA,8,CHNO no medido focal ni abundancia
1,6,2022,2,A5,BEMA,12,CHNO no medido focal ni abundancia
1,6,2022,2,A5,HOMA,10,CHNO no medido focal ni abundancia
1,6,2022,2,A5,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,2,A5,LEMA,5,CHNO no medido focal ni abundancia
1,6,2022,2,A5,CHFU,1,CHNO no medido focal ni abundancia
1,6,2022,2,A5,PLCO,1,CHNO no medido focal ni abundancia
1,6,2022,2,A6,PAIN,6,CHNO no medido focal ni abundancia
1,6,2022,2,A6,SCLA,40,CHNO no medido focal ni abundancia
1,6,2022,2,A6,PLCO,1,CHNO no medido focal ni abundancia
1,6,2022,2,A6,BEMA,10,CHNO no medido focal ni abundancia
1,6,2022,2,A6,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,2,A6,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,2,B6,SCLA,15,CHNO no medido focal ni abundancia
1,6,2022,2,B6,PAIN,5,CHNO no medido focal ni abundancia
1,6,2022,2,B6,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,2,B6,BEMA,15,CHNO no medido focal ni abundancia
1,6,2022,2,B6,HOMA,5,CHNO no medido focal ni abundancia
1,6,2022,2,B6,PLCO,3,CHNO no medido focal ni abundancia
1,6,2022,2,B5,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,2,B5,PAIN,14,CHNO no medido focal ni abundancia
1,6,2022,2,B5,BEMA,15,CHNO no medido focal ni abundancia
1,6,2022,2,B5,SCLA,5,CHNO no medido focal ni abundancia
1,6,2022,2,B5,PLCO,1,CHNO no medido focal ni abundancia
1,6,2022,2,B5,HOMA,3,CHNO no medido focal ni abundancia
1,6,2022,2,B4,PAIN,6,CHNO no medido focal ni abundancia
1,6,2022,2,B4,BEMA,18,CHNO no medido focal ni abundancia
1,6,2022,2,B4,PLCO,1,CHNO no medido focal ni abundancia
1,6,2022,2,B4,HOMA,4,CHNO no medido focal ni abundancia
1,6,2022,2,B3,CHFU,3,CHNO no medido focal ni abundancia
1,6,2022,2,B3,PLCO,5,CHNO no medido focal ni abundancia
1,6,2022,2,B3,SCLA,5,CHNO no medido focal ni abundancia
1,6,2022,2,B3,BEMA,12,CHNO no medido focal ni abundancia
1,6,2022,2,B3,PAIN,6,CHNO no medido focal ni abundancia
1,6,2022,2,B3,HOMA,5,CHNO no medido focal ni abundancia
1,6,2022,2,B2,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,2,B2,BEMA,17,CHNO no medido focal ni abundancia
1,6,2022,2,B2,PAIN,10,CHNO no medido focal ni abundancia
1,6,2022,2,B2,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,2,B1,BEMA,22,CHNO no medido focal ni abundancia
1,6,2022,2,B1,PAIN,5,CHNO no medido focal ni abundancia
1,6,2022,2,B1,CHFU,4,CHNO no medido focal ni abundancia
1,6,2022,2,B1,HOMA,5,CHNO no medido focal ni abundancia
1,6,2022,2,B1,SCLA,4,CHNO no medido focal ni abundancia
1,6,2022,2,C1,CHFU,7,CHNO no medido focal ni abundancia
1,6,2022,2,C1,SCLA,7,CHNO no medido focal ni abundancia
1,6,2022,2,C1,PAIN,5,CHNO no medido focal ni abundancia
1,6,2022,2,C1,HOMA,6,CHNO no medido focal ni abundancia
1,6,2022,2,C1,BEMA,12,CHNO no medido focal ni abundancia
1,6,2022,2,D1,SOAS,3,CHNO no medido focal ni abundancia
1,6,2022,2,D1,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,2,D1,BEMA,16,CHNO no medido focal ni abundancia
1,6,2022,2,D1,SCLA,4,CHNO no medido focal ni abundancia
1,6,2022,2,C2,CHFU,5,CHNO no medido focal ni abundancia
1,6,2022,2,C2,PAIN,8,CHNO no medido focal ni abundancia
1,6,2022,2,C2,PLCO,12,CHNO no medido focal ni abundancia
1,6,2022,2,C2,BEMA,27,CHNO no medido focal ni abundancia
1,6,2022,2,C2,SCLA,5,CHNO no medido focal ni abundancia
1,6,2022,2,C3,CHFU,2,CHNO no medido focal ni abundancia
1,6,2022,2,C3,BEMA,26,CHNO no medido focal ni abundancia
1,6,2022,2,C3,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,2,C3,PLCO,3,CHNO no medido focal ni abundancia
1,6,2022,2,C3,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,2,C3,SCLA,2,CHNO no medido focal ni abundancia
1,6,2022,2,C4,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,2,C4,BEMA,17,CHNO no medido focal ni abundancia
1,6,2022,2,C4,PAIN,6,CHNO no medido focal ni abundancia
1,6,2022,2,C4,PLCO,1,CHNO no medido focal ni abundancia
1,6,2022,2,C4,CHFU,3,CHNO no medido focal ni abundancia
1,6,2022,2,C5,SCLA,4,CHNO no medido focal ni abundancia
1,6,2022,2,C5,HOMA,2,CHNO no medido focal ni abundancia
1,6,2022,2,C5,BEMA,20,CHNO no medido focal ni abundancia
1,6,2022,2,C5,CHFU,2,CHNO no medido focal ni abundancia
1,6,2022,2,C6,SCLA,6,CHNO no medido focal ni abundancia
1,6,2022,2,C6,PLCO,2,CHNO no medido focal ni abundancia
1,6,2022,2,C6,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,2,C6,BEMA,11,CHNO no medido focal ni abundancia
1,6,2022,2,C6,HOMA,2,CHNO no medido focal ni abundancia
1,6,2022,2,D6,HOMA,2,CHNO no medido focal ni abundancia
1,6,2022,2,D6,BEMA,10,CHNO no medido focal ni abundancia
1,6,2022,2,D6,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,2,D6,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,2,D5,BEMA,17,CHNO no medido focal ni abundancia
1,6,2022,2,D4,BEMA,30,CHNO no medido focal ni abundancia
1,6,2022,2,D4,PAIN,1,CHNO no medido focal ni abundancia
1,6,2022,2,D3,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,2,D3,CHFU,1,CHNO no medido focal ni abundancia
1,6,2022,2,D3,BEMA,32,CHNO no medido focal ni abundancia
1,6,2022,2,D2,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,2,D2,CHFU,4,CHNO no medido focal ni abundancia
1,6,2022,2,D2,BEMA,17,CHNO no medido focal ni abundancia
1,6,2022,2,E1,BEMA,16,CHNO no medido focal ni abundancia
1,6,2022,2,E1,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,2,E1,CHFU,2,CHNO no medido focal ni abundancia
1,6,2022,2,E2,BEMA,38,CHNO no medido focal ni abundancia
1,6,2022,2,E3,SOAS,2,CHNO no medido focal ni abundancia
1,6,2022,2,E3,BEMA,12,CHNO no medido focal ni abundancia
1,6,2022,2,E3,PAIN,1,CHNO no medido focal ni abundancia
1,6,2022,2,E4,PAIN,1,CHNO no medido focal ni abundancia
1,6,2022,2,E4,BEMA,17,CHNO no medido focal ni abundancia
1,6,2022,2,E5,BEMA,17,CHNO no medido focal ni abundancia
1,6,2022,2,E6,SOAS,10,CHNO no medido focal ni abundancia
1,6,2022,2,E6,SCLA,1,CHNO no medido focal ni abundancia
1,6,2022,2,E6,PAIN,1,CHNO no medido focal ni abundancia
1,6,2022,2,E6,BEMA,1,CHNO no medido focal ni abundancia
1,6,2022,2,F6,BEMA,8,CHNO no medido focal ni abundancia
1,6,2022,2,F5,BEMA,9,CHNO no medido focal ni abundancia
1,6,2022,2,F4,BEMA,11,CHNO no medido focal ni abundancia
1,6,2022,2,F4,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,2,F3,POMO,1,CHNO no medido focal ni abundancia
1,6,2022,2,F3,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,2,F3,BEMA,8,CHNO no medido focal ni abundancia
1,6,2022,2,F3,SCLA,1,CHNO no medido focal ni abundancia
1,6,2022,2,F2,BEMA,8,CHNO no medido focal ni abundancia
1,6,2022,2,F1,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,2,F1,BEMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,A1,CHMI,2,CHNO no medido focal ni abundancia
1,6,2022,3,A1,HOMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,A1,BEMA,5,CHNO no medido focal ni abundancia
1,6,2022,3,A1,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,3,A1,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,A1,LEMA,1,CHNO no medido focal ni abundancia
1,6,2022,3,A2,SOAS,4,CHNO no medido focal ni abundancia
1,6,2022,3,A2,HOMA,35,CHNO no medido focal ni abundancia
1,6,2022,3,A2,SCLA,1,CHNO no medido focal ni abundancia
1,6,2022,3,A2,BEMA,7,CHNO no medido focal ni abundancia
1,6,2022,3,A2,LEMA,2,CHNO no medido focal ni abundancia
1,6,2022,3,A3,CHMI,7,CHNO no medido focal ni abundancia
1,6,2022,3,A3,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,A3,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,3,A3,HOMA,5,CHNO no medido focal ni abundancia
1,6,2022,3,A3,BEMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,A3,LEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,A4,CHMI,14,CHNO no medido focal ni abundancia
1,6,2022,3,A4,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,3,A4,HOMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,A4,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,A4,BEMA,4,CHNO no medido focal ni abundancia
1,6,2022,3,A5,BEMA,2,CHNO no medido focal ni abundancia
1,6,2022,3,A5,HOMA,10,CHNO no medido focal ni abundancia
1,6,2022,3,A5,CHMI,2,CHNO no medido focal ni abundancia
1,6,2022,3,A5,SCLA,2,CHNO no medido focal ni abundancia
1,6,2022,3,A5,PAIN,1,CHNO no medido focal ni abundancia
1,6,2022,3,A6,HOMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,A6,BEMA,9,CHNO no medido focal ni abundancia
1,6,2022,3,B6,BEMA,10,CHNO no medido focal ni abundancia
1,6,2022,3,B6,HOMA,16,CHNO no medido focal ni abundancia
1,6,2022,3,B6,CHFU,6,CHNO no medido focal ni abundancia
1,6,2022,3,B5,SCLA,7,CHNO no medido focal ni abundancia
1,6,2022,3,B5,BEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,B5,CHMI,5,CHNO no medido focal ni abundancia
1,6,2022,3,B5,HOMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,B4,SCLA,9,CHNO no medido focal ni abundancia
1,6,2022,3,B4,BEMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,B4,CHMI,7,CHNO no medido focal ni abundancia
1,6,2022,3,B4,HOMA,5,CHNO no medido focal ni abundancia
1,6,2022,3,B3,LEMA,1,CHNO no medido focal ni abundancia
1,6,2022,3,B3,BEMA,13,CHNO no medido focal ni abundancia
1,6,2022,3,B3,HOMA,18,CHNO no medido focal ni abundancia
1,6,2022,3,B3,SCLA,2,CHNO no medido focal ni abundancia
1,6,2022,3,B2,BEMA,6,CHNO no medido focal ni abundancia
1,6,2022,3,B2,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,B2,HOMA,17,CHNO no medido focal ni abundancia
1,6,2022,3,B2,CHMI,6,CHNO no medido focal ni abundancia
1,6,2022,3,B2,LEMA,2,CHNO no medido focal ni abundancia
1,6,2022,3,B2,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,3,B1,LEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,B1,BEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,B1,CHMI,3,CHNO no medido focal ni abundancia
1,6,2022,3,B1,HOMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,B1,SCLA,6,CHNO no medido focal ni abundancia
1,6,2022,3,B1,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,C1,CHMI,15,CHNO no medido focal ni abundancia
1,6,2022,3,C1,BEMA,5,CHNO no medido focal ni abundancia
1,6,2022,3,C1,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,3,C1,HOMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,C1,LEMA,1,CHNO no medido focal ni abundancia
1,6,2022,3,C2,CHMI,10,CHNO no medido focal ni abundancia
1,6,2022,3,C2,HOMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,C2,LEMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,C2,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,C2,SCLA,6,CHNO no medido focal ni abundancia
1,6,2022,3,C3,BEMA,10,CHNO no medido focal ni abundancia
1,6,2022,3,C3,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,3,C3,CHMI,4,CHNO no medido focal ni abundancia
1,6,2022,3,C3,HOMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,C3,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,C4,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,C4,BEMA,7,CHNO no medido focal ni abundancia
1,6,2022,3,C4,HOMA,22,CHNO no medido focal ni abundancia
1,6,2022,3,C4,CHFU,1,CHNO no medido focal ni abundancia
1,6,2022,3,C4,SCLA,2,CHNO no medido focal ni abundancia
1,6,2022,3,C4,LEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,C5,BEMA,6,CHNO no medido focal ni abundancia
1,6,2022,3,C5,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,3,C5,LEMA,2,CHNO no medido focal ni abundancia
1,6,2022,3,C5,CHFU,4,CHNO no medido focal ni abundancia
1,6,2022,3,C6,BEMA,16,CHNO no medido focal ni abundancia
1,6,2022,3,C6,HOMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,C6,PAIN,1,CHNO no medido focal ni abundancia
1,6,2022,3,D6,HOMA,14,CHNO no medido focal ni abundancia
1,6,2022,3,D6,BEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,D6,LEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,D5,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,D5,BEMA,2,CHNO no medido focal ni abundancia
1,6,2022,3,D5,LEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,D5,SCLA,2,CHNO no medido focal ni abundancia
1,6,2022,3,D4,LEMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,D4,HOMA,10,CHNO no medido focal ni abundancia
1,6,2022,3,D4,BEMA,5,CHNO no medido focal ni abundancia
1,6,2022,3,D4,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,3,D3,BEMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,D3,HOMA,15,CHNO no medido focal ni abundancia
1,6,2022,3,D2,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,D2,HOMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,D2,BEMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,D1,SOAS,2,CHNO no medido focal ni abundancia
1,6,2022,3,D1,SCLA,1,CHNO no medido focal ni abundancia
1,6,2022,3,D1,CHMI,8,CHNO no medido focal ni abundancia
1,6,2022,3,D1,BEMA,5,CHNO no medido focal ni abundancia
1,6,2022,3,D1,HOMA,13,CHNO no medido focal ni abundancia
1,6,2022,3,E1,BEMA,6,CHNO no medido focal ni abundancia
1,6,2022,3,E1,HOMA,6,CHNO no medido focal ni abundancia
1,6,2022,3,E1,CHFU,1,CHNO no medido focal ni abundancia
1,6,2022,3,E2,BEMA,6,CHNO no medido focal ni abundancia
1,6,2022,3,E2,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,E2,HOMA,20,CHNO no medido focal ni abundancia
1,6,2022,3,E2,SCLA,2,CHNO no medido focal ni abundancia
1,6,2022,3,E3,BEMA,5,CHNO no medido focal ni abundancia
1,6,2022,3,E3,LEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,E3,SCLA,3,CHNO no medido focal ni abundancia
1,6,2022,3,E3,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,3,E3,HOMA,32,CHNO no medido focal ni abundancia
1,6,2022,3,E4,BEMA,3,CHNO no medido focal ni abundancia
1,6,2022,3,E4,LEMA,9,CHNO no medido focal ni abundancia
1,6,2022,3,E4,HOMA,28,CHNO no medido focal ni abundancia
1,6,2022,3,E4,CHFU,2,CHNO no medido focal ni abundancia
1,6,2022,3,E5,LEMA,6,CHNO no medido focal ni abundancia
1,6,2022,3,E5,HOMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,E5,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,E5,BEMA,2,CHNO no medido focal ni abundancia
1,6,2022,3,E5,PAIN,1,CHNO no medido focal ni abundancia
1,6,2022,3,E6,BEMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,E6,HOMA,10,CHNO no medido focal ni abundancia
1,6,2022,3,F6,CHFU,3,CHNO no medido focal ni abundancia
1,6,2022,3,F6,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,3,F6,HOMA,15,CHNO no medido focal ni abundancia
1,6,2022,3,F6,BEMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,F5,BEMA,6,CHNO no medido focal ni abundancia
1,6,2022,3,F5,LEMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,F5,HOMA,12,CHNO no medido focal ni abundancia
1,6,2022,3,F4,BEMA,7,CHNO no medido focal ni abundancia
1,6,2022,3,F4,LEMA,9,CHNO no medido focal ni abundancia
1,6,2022,3,F4,HOMA,18,CHNO no medido focal ni abundancia
1,6,2022,3,F3,BEMA,16,CHNO no medido focal ni abundancia
1,6,2022,3,F3,LEMA,15,CHNO no medido focal ni abundancia
1,6,2022,3,F3,HOMA,19,CHNO no medido focal ni abundancia
1,6,2022,3,F2,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,3,F2,BEMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,F2,LEMA,8,CHNO no medido focal ni abundancia
1,6,2022,3,F2,HOMA,3,CHNO no medido focal ni abundancia
